sku;titulo;personaje;serie;precio_lista;precio_ml;largo_titulo;color;fotos;descripcion;marca;modelo;largo;altura;relleno
DAKI85-POWER;Dakimakura 85cm Simple Power Chainsaw Man;Power;Chainsaw Man;16599;26497;41;Blanco;;Dakimakura 85cm Simple de Power (Chainsaw Man). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-POWER;28;85;Fibra siliconada
DAKI85-REZE;Dakimakura 85cm Simple Reze Chainsaw Man;Reze;Chainsaw Man;16599;26497;40;Blanco;;Dakimakura 85cm Simple de Reze (Chainsaw Man). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-REZE;28;85;Fibra siliconada
DAKI85-FRIER;Dakimakura 85cm Simple Frieren Sousou no Frieren;Frieren;Sousou no Frieren;16599;26497;48;Blanco;;Dakimakura 85cm Simple de Frieren (Sousou no Frieren). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-FRIER;28;85;Fibra siliconada
DAKI85-FERN;Dakimakura 85cm Simple Fern Sousou no Frieren;Fern;Sousou no Frieren;16599;26497;45;Blanco;;Dakimakura 85cm Simple de Fern (Sousou no Frieren). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-FERN;28;85;Fibra siliconada
DAKI85-YORFO;Dakimakura 85cm Simple Yor Forger Spy x Family;Yor Forger;Spy x Family;16599;26497;46;Blanco;;Dakimakura 85cm Simple de Yor Forger (Spy x Family). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-YORFO;28;85;Fibra siliconada
DAKI85-HATSU;Dakimakura 85cm Simple Hatsune Miku Vocaloid;Hatsune Miku;Vocaloid;16599;26497;44;Blanco;;Dakimakura 85cm Simple de Hatsune Miku (Vocaloid). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-HATSU;28;85;Fibra siliconada
DAKI85-2B;Dakimakura 85cm Simple 2B NieR Automata;2B;NieR Automata;16599;26497;39;Blanco;;Dakimakura 85cm Simple de 2B (NieR Automata). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-2B;28;85;Fibra siliconada
DAKI85-ASUKA;Dakimakura 85cm Simple Asuka Langley Evangelion;Asuka Langley;Evangelion;16599;26497;47;Blanco;;Dakimakura 85cm Simple de Asuka Langley (Evangelion). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ASUKA;28;85;Fibra siliconada
DAKI85-REIAY;Dakimakura 85cm Simple Rei Ayanami Evangelion;Rei Ayanami;Evangelion;16599;26497;45;Blanco;;Dakimakura 85cm Simple de Rei Ayanami (Evangelion). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-REIAY;28;85;Fibra siliconada
DAKI85-ALBED;Dakimakura 85cm Simple Albedo Overlord;Albedo;Overlord;16599;26497;38;Blanco;;Dakimakura 85cm Simple de Albedo (Overlord). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ALBED;28;85;Fibra siliconada
DAKI85-MARIN;Dakimakura 85cm Simple Marin Kitagawa My Dress-Up Darling;Marin Kitagawa;My Dress-Up Darling;16599;26497;57;Blanco;;Dakimakura 85cm Simple de Marin Kitagawa (My Dress-Up Darling). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MARIN;28;85;Fibra siliconada
DAKI85-ARTOR;Dakimakura 85cm Simple Artoria Pendragon Fate Stay Night;Artoria Pendragon;Fate Stay Night;16599;26497;56;Blanco;;Dakimakura 85cm Simple de Artoria Pendragon (Fate Stay Night). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ARTOR;28;85;Fibra siliconada
DAKI85-JEANN;Dakimakura 85cm Simple Jeanne d'Arc Fate Grand Order;Jeanne d'Arc;Fate Grand Order;16599;26497;52;Blanco;;Dakimakura 85cm Simple de Jeanne d'Arc (Fate Grand Order). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-JEANN;28;85;Fibra siliconada
DAKI85-ASUNA;Dakimakura 85cm Simple Asuna Blue Archive;Asuna;Blue Archive;16599;26497;41;Blanco;;Dakimakura 85cm Simple de Asuna (Blue Archive). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ASUNA;28;85;Fibra siliconada
DAKI85-KARIN;Dakimakura 85cm Simple Karin Blue Archive;Karin;Blue Archive;16599;26497;41;Blanco;;Dakimakura 85cm Simple de Karin (Blue Archive). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-KARIN;28;85;Fibra siliconada
DAKI85-MIKAS;Dakimakura 85cm Simple Mikasa Ackerman Attack on Titan;Mikasa Ackerman;Attack on Titan;16599;26497;54;Blanco;;Dakimakura 85cm Simple de Mikasa Ackerman (Attack on Titan). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MIKAS;28;85;Fibra siliconada
DAKI85-LEVIA;Dakimakura 85cm Simple Levi Ackerman Attack on Titan;Levi Ackerman;Attack on Titan;16599;26497;52;Blanco;;Dakimakura 85cm Simple de Levi Ackerman (Attack on Titan). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-LEVIA;28;85;Fibra siliconada
DAKI85-NAMI;Dakimakura 85cm Simple Nami One Piece;Nami;One Piece;16599;26497;37;Blanco;;Dakimakura 85cm Simple de Nami (One Piece). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NAMI;28;85;Fibra siliconada
DAKI85-NICOR;Dakimakura 85cm Simple Nico Robin One Piece;Nico Robin;One Piece;16599;26497;43;Blanco;;Dakimakura 85cm Simple de Nico Robin (One Piece). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NICOR;28;85;Fibra siliconada
DAKI85-BOAHA;Dakimakura 85cm Simple Boa Hancock One Piece;Boa Hancock;One Piece;16599;26497;44;Blanco;;Dakimakura 85cm Simple de Boa Hancock (One Piece). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-BOAHA;28;85;Fibra siliconada
DAKI85-MEGUM;Dakimakura 85cm Simple Megumin Konosuba;Megumin;Konosuba;16599;26497;39;Blanco;;Dakimakura 85cm Simple de Megumin (Konosuba). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MEGUM;28;85;Fibra siliconada
DAKI85-AQUA;Dakimakura 85cm Simple Aqua Konosuba;Aqua;Konosuba;16599;26497;36;Blanco;;Dakimakura 85cm Simple de Aqua (Konosuba). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-AQUA;28;85;Fibra siliconada
DAKI85-MIRKO;Dakimakura 85cm Simple Mirko My Hero Academia;Mirko;My Hero Academia;16599;26497;45;Blanco;;Dakimakura 85cm Simple de Mirko (My Hero Academia). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MIRKO;28;85;Fibra siliconada
DAKI85-HIMIK;Dakimakura 85cm Simple Himiko Toga My Hero Academia;Himiko Toga;My Hero Academia;16599;26497;51;Blanco;;Dakimakura 85cm Simple de Himiko Toga (My Hero Academia). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-HIMIK;28;85;Fibra siliconada
DAKI85-HITOR;Dakimakura 85cm Simple Hitori Gotoh Bocchi the Rock!;Hitori Gotoh;Bocchi the Rock!;16599;26497;52;Blanco;;Dakimakura 85cm Simple de Hitori Gotoh (Bocchi the Rock!). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-HITOR;28;85;Fibra siliconada
FDAKI95D-KAFKA;Dakimakura (Funda + Almohada) 95cm Doble Kafka;Kafka;Honkai Star Rail;19819;30884;46;Blanco;https://i.postimg.cc/44F1tXPX/kafka.png;Dakimakura (Funda + Almohada) 95cm Doble de Kafka (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-KAFKA;30;95;Fibra siliconada
FDAKI95D-FIREF;Dakimakura (Funda + Almohada) 95cm Doble Firefly;Firefly;Honkai Star Rail;19819;30884;48;Blanco;https://example.com/firefly.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Firefly (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-FIREF;30;95;Fibra siliconada
FDAKI95D-ACHER;Dakimakura (Funda + Almohada) 95cm Doble Acheron;Acheron;Honkai Star Rail;19819;30884;48;Blanco;https://example.com/acheron.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Acheron (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-ACHER;30;95;Fibra siliconada
FDAKI95D-MARCH;Dakimakura (Funda + Almohada) 95cm Doble March 7th;March 7th;Honkai Star Rail;19819;30884;50;Blanco;https://example.com/march7th.jpg;Dakimakura (Funda + Almohada) 95cm Doble de March 7th (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-MARCH;30;95;Fibra siliconada
FDAKI95D-JINGL;Dakimakura (Funda + Almohada) 95cm Doble Jingliu;Jingliu;Honkai Star Rail;19819;30884;48;Blanco;https://example.com/jingliu.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Jingliu (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-JINGL;30;95;Fibra siliconada
FDAKI95D-SPARK;Dakimakura (Funda + Almohada) 95cm Doble Sparkle;Sparkle;Honkai Star Rail;19819;30884;48;Blanco;https://example.com/sparkle.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Sparkle (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-SPARK;30;95;Fibra siliconada
FDAKI95D-RUANM;Dakimakura (Funda + Almohada) 95cm Doble Ruan Mei;Ruan Mei;Honkai Star Rail;19819;30884;49;Blanco;https://example.com/ruanmei.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Ruan Mei (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-RUANM;30;95;Fibra siliconada
FDAKI95D-BLACK;Dakimakura (Funda + Almohada) 95cm Doble Black Swan;Black Swan;Honkai Star Rail;19819;30884;51;Blanco;https://example.com/blackswan.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Black Swan (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-BLACK;30;95;Fibra siliconada
FDAKI95D-BLADE;Dakimakura (Funda + Almohada) 95cm Doble Blade;Blade;Honkai Star Rail;19819;30884;46;Blanco;https://example.com/blade.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Blade (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-BLADE;30;95;Fibra siliconada
FDAKI95D-DANHE;Dakimakura (Funda + Almohada) 95cm Doble Dan Heng;Dan Heng;Honkai Star Rail;19819;30884;49;Blanco;https://example.com/danheng.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Dan Heng (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-DANHE;30;95;Fibra siliconada
FDAKI95D-RAIDE;Dakimakura (Funda + Almohada) 95cm Doble Raiden Shogun;Raiden Shogun;Genshin Impact;19819;30884;54;Blanco;https://example.com/raiden.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Raiden Shogun (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-RAIDE;30;95;Fibra siliconada
FDAKI95D-HUTAO;Dakimakura (Funda + Almohada) 95cm Doble Hu Tao;Hu Tao;Genshin Impact;19819;30884;47;Blanco;https://example.com/hutao.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Hu Tao (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-HUTAO;30;95;Fibra siliconada
FDAKI95D-FURIN;Dakimakura (Funda + Almohada) 95cm Doble Furina;Furina;Genshin Impact;19819;30884;47;Blanco;https://example.com/furina.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Furina (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-FURIN;30;95;Fibra siliconada
FDAKI95D-YELAN;Dakimakura (Funda + Almohada) 95cm Doble Yelan;Yelan;Genshin Impact;19819;30884;46;Blanco;https://example.com/yelan.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Yelan (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-YELAN;30;95;Fibra siliconada
FDAKI95D-GANYU;Dakimakura (Funda + Almohada) 95cm Doble Ganyu;Ganyu;Genshin Impact;19819;30884;46;Blanco;https://example.com/ganyu.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Ganyu (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-GANYU;30;95;Fibra siliconada
FDAKI95D-SHENH;Dakimakura (Funda + Almohada) 95cm Doble Shenhe;Shenhe;Genshin Impact;19819;30884;47;Blanco;https://example.com/shenhe.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Shenhe (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-SHENH;30;95;Fibra siliconada
FDAKI95D-ARLEC;Dakimakura (Funda + Almohada) 95cm Doble Arlecchino;Arlecchino;Genshin Impact;19819;30884;51;Blanco;https://example.com/arlecchino.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Arlecchino (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-ARLEC;30;95;Fibra siliconada
FDAKI95D-NAHID;Dakimakura (Funda + Almohada) 95cm Doble Nahida;Nahida;Genshin Impact;19819;30884;47;Blanco;https://example.com/nahida.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Nahida (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-NAHID;30;95;Fibra siliconada
FDAKI95D-ZHONG;Dakimakura (Funda + Almohada) 95cm Doble Zhongli;Zhongli;Genshin Impact;19819;30884;48;Blanco;https://example.com/zhongli.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Zhongli (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-ZHONG;30;95;Fibra siliconada
FDAKI95D-NEUVI;Dakimakura (Funda + Almohada) 95cm Doble Neuvillette;Neuvillette;Genshin Impact;19819;30884;52;Blanco;https://example.com/neuvillette.jpg;Dakimakura (Funda + Almohada) 95cm Doble de Neuvillette (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-NEUVI;30;95;Fibra siliconada
FDAKI95D-REM;Dakimakura (Funda + Almohada) 95cm Doble Rem Re:Zero;Rem;Re:Zero;19819;30884;52;Blanco;;Dakimakura (Funda + Almohada) 95cm Doble de Rem (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-REM;30;95;Fibra siliconada
FDAKI95D-RAM;Dakimakura (Funda + Almohada) 95cm Doble Ram Re:Zero;Ram;Re:Zero;19819;30884;52;Blanco;;Dakimakura (Funda + Almohada) 95cm Doble de Ram (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-RAM;30;95;Fibra siliconada
FDAKI95D-EMILI;Dakimakura (Funda + Almohada) 95cm Doble Emilia Re:Zero;Emilia;Re:Zero;19819;30884;55;Blanco;;Dakimakura (Funda + Almohada) 95cm Doble de Emilia (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-EMILI;30;95;Fibra siliconada
FDAKI95D-ECHID;Dakimakura (Funda + Almohada) 95cm Doble Echidna Re:Zero;Echidna;Re:Zero;19819;30884;56;Blanco;;Dakimakura (Funda + Almohada) 95cm Doble de Echidna (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;FDAKI95D-ECHID;30;95;Fibra siliconada
